entry,GY,PHT,EHT,AD
123,10.4998,251.5677879,137.8194228,59.9222
124,9.0857,242.0349963,123.0459088,60.2538
125,8.6238,242.9576435,149.2015543,58.699
126,6.0076,250.4774131,139.1636458,58.9403
127,9.9703,277.8499069,147.766385,61.2928
128,10.0019,257.9220589,146.5944891,60.6578
129,12.2076,272.3643994,145.7479842,60.8504
130,9.7966,247.3470865,127.6965122,59.5822
131,7.6254,255.6488016,143.0815548,60.046
132,8.8155,223.9888772,117.0819133,60.4844
133,13.5085,248.7132001,142.7047415,61.3627
134,8.7376,237.826181,123.2772644,56.5768
135,10.2639,252.9242531,143.7987904,59.7301
136,10.8368,243.5378087,126.8977431,59.7568
137,7.3117,238.7996346,136.9609824,59.2889
138,9.0951,260.7273499,144.5847898,59.1497
139,9.7721,248.0607164,142.4229813,59.3275
140,6.8593,228.8356356,126.7388117,59.3034
141,7.5591,242.8169353,130.1628852,60.9444
142,11.6467,257.3925185,149.7599427,62.2481
143,9.6168,260.1822416,145.0130088,58.5291
144,8.5568,252.5290284,146.7748138,58.7354
145,8.8491,226.7087906,133.5125255,59.2855
146,4.1523,244.3716792,130.7607496,58.7894
147,12.1904,253.7678081,144.4506027,61.3619
148,9.6037,254.2181291,143.5487567,61.0554
149,9.3861,248.8962625,142.7560875,58.0152
150,10.2566,237.9298877,139.2740158,59.5535
151,6.08,235.5228294,129.2409421,59.9565
152,10.8548,248.2113655,151.2691323,60.2739
153,10.0621,246.9569764,135.2278515,59.497
154,12.6306,233.9959788,136.7952092,59.9411
155,10.2721,240.4311153,130.5545214,61.1984
156,8.7107,246.5028201,142.0829625,58.4496
157,10.6479,249.1339191,142.5110565,61.4771
158,10.2478,261.2958753,145.9932657,59.3873
159,8.4375,247.7269476,144.2674261,59.2592
160,8.342,244.907646,135.7671302,60.546
161,9.1047,259.0764753,134.2128566,61.13
162,9.833,223.4268402,131.0965355,59.6635
163,8.8122,240.1389303,119.8190077,58.9275
164,6.4666,240.4567717,109.9298453,61.858
165,7.8157,242.6801324,141.0936152,57.8433
166,10.7726,262.8940456,147.8406983,58.4921
167,10.5823,248.6745432,140.9372793,59.9172
168,6.2813,192.8764911,131.2367016,58.8468
169,9.9435,242.859107,130.4839577,58.4297
170,13.7777,268.985983,151.1658403,61.842
171,11.6084,245.8566678,131.9034053,60.2753
172,8.6125,249.1072886,146.7865286,62.4677
173,7.5492,234.2630481,143.828467,57.9804
174,8.925,233.106507,129.7355613,60.3129
175,8.9784,249.698918,154.5560385,58.8535
176,8.7761,244.5110733,142.6505654,57.4015
177,8.377,254.3986105,146.5737576,58.8373
178,7.9728,257.951972,145.3809136,60.4512
179,7.7152,252.0691378,153.7968172,58.2075
180,12.6367,250.5454232,155.6540589,62.1931
181,9.7807,250.302459,141.2503064,59.9432
182,10.878,268.8466733,153.7410966,59.9218
183,6.9368,243.4514652,138.512462,58.5611
184,9.6546,243.092386,134.3272615,58.2794
185,8.746,259.2076916,150.8434367,58.4912
186,7.7293,237.0125343,135.0704306,57.8249
187,12.0511,246.7702528,135.106593,58.39
188,9.0509,247.9637618,146.8012635,59.0685
189,9.6447,272.1181476,143.6878919,61.0693
190,11.8559,256.0538751,141.180015,61.5974
191,9.0818,250.9841277,141.6818398,59.0602
192,10.5111,244.7079502,139.1790643,59.689
193,11.9093,258.5961386,152.7816629,58.9821
194,9.4134,252.663421,135.8555535,60.0403
195,9.3207,238.3866674,135.4078795,58.9362
196,7.3401,241.9183646,136.4666121,57.4057
197,7.8282,243.1832117,127.0793554,58.7429
198,8.6667,246.1488313,136.4528494,59.6558
199,7.4026,256.3486838,140.3205652,57.5096
200,10.8674,267.3577319,154.0542261,61.4281
201,8.2245,241.8294364,137.8079495,58.7153
202,10.6433,272.3568493,144.4124147,62.0208
203,10.3684,242.9631045,131.9258531,60.8948
204,8.0788,272.2596724,150.5671697,62.3619
205,8.4555,266.3255996,146.4614384,59.2358
206,8.6009,254.8634572,148.7851899,58.5478
207,8.004,244.9824324,132.4855776,60.3021
208,7.2155,249.6122902,143.2981156,57.9148
209,8.0733,252.1128595,148.0194987,58.9128
210,9.7978,238.0189715,141.6839456,59.3667
211,6.5282,258.1496192,149.9810983,59.586
212,6.5963,229.2464051,134.4214965,58.5899
213,7.3342,242.9004538,138.4118956,62.0047
214,8.8802,235.3620536,127.5843051,60.6124
215,7.5865,249.0159016,145.4129979,60.4473
216,9.2827,243.1654009,146.1738947,58.0224
217,6.2573,236.6413984,142.032291,58.0328
218,9.5934,240.2267632,136.9356876,58.6464
